variables_optimized,params_optimized,training_time,training_loss,training_losses,accuracy,eval_time,name,retrained,shallow_retrain
2,8194,132.27440738677979,0.3337305188179016,"[0.6449973697463671, 0.799626004199187, 0.4865968585014343, 0.5339775641759237, 0.7758354211846987, 0.762413190305233, 0.33923502415418627, 0.4132471902916829, 0.44662663439909617, 0.7605774372816085, 0.6177145212888717, 0.6748861173788706, 0.2680120279391607, 0.40952806174755096, 0.32828037440776825, 0.3411690669755141, 0.5101253290971121, 0.2958725616335869, 0.2770718668897947, 0.6957354908188184, 0.37219979166984557, 0.4904374713699023, 0.1039210965236028, 0.2812492909530799, 0.5081507921218872, 0.2843585185706615, 0.2735815142591794, 0.22060134013493857, 0.25705449680487313, 0.3337305188179016]",0.9411764705882353,3.6459550857543945,alexnet,True,True
2,3330,277.8260440826416,0.5314074479043484,"[0.7803391536076864, 1.0151035790642102, 0.6096459249655406, 0.71614589219292, 1.0304175108671187, 0.5891895038386186, 0.5866806777815025, 0.6755906095107397, 0.6227317874630293, 0.7099033010502657, 0.5689165299137433, 0.5437799210349719, 0.8015171070893605, 0.6678334052364031, 0.5985828551153342, 0.4999093475441138, 0.710104750096798, 0.7836596677700679, 0.5328871063888073, 0.44145535404483477, 0.46230312883853913, 0.5844454544285933, 0.47636913855870566, 0.6630046005050342, 0.6307528525590896, 0.5341838262975216, 0.632778454075257, 0.6141219452023506, 0.6268344536423683, 0.5314074479043484]",0.9215686274509803,7.851351261138916,densenet169,True,True
4,5636,271.20917892456055,2.134380352497101,"[1.8291524430116017, 1.8966477513313293, 1.5457304696242014, 1.962473878264427, 1.5311813334623972, 1.4712112734715144, 1.4740882496039072, 1.1312819381554922, 1.4500905454158783, 1.6148350318272908, 1.3559898629784584, 1.3147228678067526, 1.3842623422543208, 1.5068770463267962, 1.879888591170311, 1.7435520976781844, 1.3778608818848928, 1.59798597296079, 1.306519621113936, 1.4390670364101728, 1.5454671382904053, 1.2700662851333617, 1.3067057773470878, 1.2154812504847845, 1.301005790134271, 1.5278363784154256, 1.200030130147934, 1.3327435905734697, 1.2067295412222545, 2.134380352497101]",0.869281045751634,5.174986362457275,inception_v3,True,True
2,1026,151.41002368927002,0.8697185007234415,"[0.6588224162658055, 0.6182808289925258, 0.6056827455759048, 0.9534439203639825, 1.3672176629304886, 0.7642186850309372, 0.5063450093070666, 0.5990918685992559, 0.5700537902613481, 0.4351017480095228, 0.688445183634758, 0.6358402222394943, 0.5046178514758746, 0.8893822446465492, 0.8708702484766643, 0.7534642721215884, 0.6487383291125297, 0.5105993986129761, 0.571998796860377, 0.7673505996664365, 0.6745530679821968, 0.5809230287869771, 0.519818802177906, 0.5375595656534036, 0.6444296479225159, 0.6124498384694258, 0.7683310935894648, 0.4757927045226097, 0.5544534859557947, 0.8697185007234415]",0.8888888888888888,3.183588981628418,resnet34,True,True
2,1026,67.87700986862183,0.13191987425088883,"[0.48623288770516715, 0.4485887433091799, 0.2691540131966273, 0.2209258442123731, 0.23335402309894562, 0.20383766839901607, 0.3693067381779353, 0.17284807215134304, 0.18281655609607697, 0.14947874297698338, 0.16509772290786107, 0.14073311537504196, 0.1375660330057144, 0.1792406365275383, 0.13293640414873759, 0.17345188756783803, 0.17141750653584797, 0.21743928492069245, 0.24442363977432252, 0.19766809940338134, 0.10855132043361664, 0.10980408986409505, 0.21591163178284964, 0.14524314006169636, 0.14545256197452544, 0.2930703043937683, 0.15860677063465117, 0.14155150552590687, 0.09201516608397166, 0.13191987425088883]",0.934640522875817,2.2872278690338135,squeezenet1_1,True,True
2,8194,382.0219066143036,0.19555958012739819,"[0.4001276771227519, 0.310506143172582, 0.23651925325393677, 0.18007902751366298, 0.18294470881422362, 0.1772422303756078, 0.32518666932980217, 0.15456459845105808, 0.1438033568362395, 0.15566440671682358, 0.19824622323115668, 0.26507751444975536, 0.14460683663686116, 0.16236888604859512, 0.17159015734990438, 0.10164796014626822, 0.11712987770636876, 0.22701976038515567, 0.06703527470429739, 0.2144110011557738, 0.40434248447418214, 0.2274980825682481, 0.23861868505676587, 0.09473046114047369, 0.14760183145602543, 0.20219092269738514, 0.06310451328754425, 0.233037564655145, 0.04047793100277583, 0.19555958012739819]",0.934640522875817,9.78577995300293,vgg13,True,True
16,57012034,147.88123750686646,0.6490961054960886,"[0.6932636777559916, 0.694413940111796, 0.6928423265616099, 0.6936238706111908, 0.6931376377741496, 0.6934309899806976, 0.6930472016334533, 0.6926954646905263, 0.6913259943326314, 0.6928755978743235, 0.6895035644372304, 0.6926084061463674, 0.6883116761843363, 0.6916109144687652, 0.6890701989332835, 0.6883516212304434, 0.686809488137563, 0.6821940978368123, 0.6829461753368378, 0.6869771520296732, 0.679001122713089, 0.6722644845644633, 0.6520185828208923, 0.6664509057998658, 0.6661665479342143, 0.6722269376118978, 0.5952397326628367, 0.6772902309894562, 0.7036851187547047, 0.6490961054960886]",0.5686274509803921,3.558337926864624,alexnet,False,False
508,14149480,295.5555033683777,0.6394421021143596,"[3.758546610673269, 0.735620665550232, 0.7424758195877075, 0.6638825178146363, 0.7221163352330525, 0.644890832901001, 0.6815452257792155, 0.7064140717188517, 0.7258037646611532, 0.647605037689209, 0.6827737013498942, 0.7231933116912842, 0.6148008187611897, 0.7050951480865478, 0.6375233173370362, 0.646649964650472, 0.6387109676996867, 0.6555142800013224, 0.6029780467351278, 0.6045679092407227, 0.5591812372207642, 0.6446251392364502, 0.5901364167531331, 0.7067879438400269, 0.6704655885696411, 0.6535025517145793, 0.6707207918167114, 0.5821940183639527, 0.6732496658960978, 0.6394421021143596]",0.6797385620915033,7.686006784439087,densenet169,False,False
292,24348900,283.5886549949646,2.0593234837055205,"[1.9816147605578105, 2.151238536834717, 1.9586544593175252, 1.8817228436470033, 1.8949224571386973, 2.1144465227921803, 1.7105423301458358, 1.9395068109035491, 2.147524134318034, 2.3047763387362163, 1.8329116801420848, 2.0384798189004263, 2.198727269967397, 1.9577059944470723, 1.6804665486017862, 2.304601134856542, 2.4338692585627237, 2.023895623286565, 1.6520379881064098, 1.8802327811717987, 1.800662056605021, 1.8977745612462362, 1.9112554252147675, 2.0675816257794697, 2.046035075187683, 2.079533820350965, 2.057239713271459, 1.8226490914821625, 2.01467671195666, 2.0593234837055205]",0.5620915032679739,5.32808780670166,inception_v3,False,False
110,21285698,160.13548517227173,0.7010385453701019,"[0.94874327480793, 1.092853771150112, 0.8724816049138705, 0.8953985025485357, 0.7325556933879852, 1.0162584781646729, 0.9359619110822678, 0.7451163043578466, 0.7827076544364293, 0.8569934864838918, 0.8505562404791515, 0.8296958049138387, 0.8872446556886037, 0.8547310719887415, 1.0265008916457494, 1.0036779016256332, 0.7647147918740909, 0.8305339803298314, 0.7238698263963064, 0.7955250819524129, 0.9017803331216176, 0.8808030058940252, 0.8449353764454524, 0.8015545040369034, 0.9266935169696808, 0.7978487660487493, 0.8536848386128744, 0.9325247868895531, 0.8030649850765864, 0.7010385453701019]",0.6535947712418301,3.1701908111572266,resnet34,False,False
52,723522,71.20375370979309,0.6931471824645996,"[0.7200395142038664, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996, 0.6931471824645996]",0.45751633986928103,2.3948652744293213,squeezenet1_1,False,False
26,128959042,425.7545166015625,0.5962312410275141,"[0.7187932193279266, 0.6987431387106577, 0.6889206151167552, 0.6943059821923574, 0.6995935201644897, 0.6909210940202077, 0.6923192103703817, 0.6815319299697876, 0.6842368513345718, 0.6594259450833003, 0.6203869849443435, 0.6567952136198679, 0.6159723569949468, 0.640097905198733, 0.6382866154114405, 0.6094239433606465, 0.6413209572434425, 0.5826000889142354, 0.6356521238883336, 0.629578513900439, 0.6123635977506637, 0.6444858074188232, 0.6064973920583725, 0.6132155150175095, 0.6016938954591751, 0.6048149541020393, 0.6670526494582494, 0.5485491409897805, 0.6236189002792041, 0.5962312410275141]",0.6993464052287581,9.827883243560791,vgg13,False,False
16,57012034,145.4061324596405,0.3348389188448588,"[0.9058507854739825, 0.8422722816467285, 0.6832410077253978, 0.6694998492797216, 0.6638702193895976, 0.652396152416865, 0.5959371795256933, 0.6602226515611013, 0.5815990924835205, 0.5585591087738673, 0.5489123597741127, 0.6074581888814767, 0.5729220708211263, 0.6321026116609574, 0.608658962448438, 0.6026650200287501, 0.5889960353573164, 0.6382711047927538, 0.5468498448530833, 0.4546732917428017, 0.5000830709934234, 0.41874629954497017, 0.5144528771440188, 0.497105872631073, 0.2949995664258798, 0.6161103417476018, 0.43020301361878716, 0.40001582851012546, 0.39930335332949957, 0.3348389188448588]",0.7712418300653595,3.461834669113159,alexnet,True,False
508,12487810,292.345685005188,0.3186530863245328,"[0.6880594919125239, 0.5986983786026637, 0.4366995764275392, 0.8134673890968164, 0.887651317814986, 0.961603298286597, 0.6706142778197924, 0.7791942156851291, 0.7763946240146955, 0.6667415117224057, 0.43815006216367086, 0.6352087785800298, 0.560955377916495, 0.5578066587448121, 0.5151483791569869, 0.47221326182285944, 0.45165164371331534, 0.5341445614894231, 0.4635127648711205, 0.4361243749658267, 0.4244649996360143, 0.516990474363168, 0.3033191055059433, 0.41304358740647634, 0.36657139559586843, 0.37128164718548456, 0.40548308144013084, 0.35532402296861015, 0.3607709174354871, 0.3186530863245328]",0.8758169934640523,7.3409364223480225,densenet169,True,False
292,24348900,284.9803819656372,1.3199121822913489,"[1.8060940543810526, 1.5766649305820466, 1.5660042454799017, 1.6844182809193928, 1.8788533687591553, 1.7865262349446616, 2.113397620121638, 1.9967733124891918, 1.6930860122044882, 1.6454144696394601, 1.8579031467437743, 1.3389902373154958, 1.422914340098699, 1.6296266744534174, 1.3542779405911765, 1.7145804385344188, 1.6303958157698313, 1.3544182101885478, 1.3934075593948365, 1.3053396438558897, 1.2429701541860898, 1.4396466116110485, 1.3725314676761626, 1.3084830582141875, 1.2546294589837392, 1.3633785138527552, 1.4531818360090256, 1.3683309962352117, 1.5537205696105958, 1.3199121822913489]",0.803921568627451,5.308340787887573,inception_v3,True,False
110,21285698,160.45222806930542,0.4099969615538915,"[0.7902858893076579, 0.6412704070409139, 0.6075814704100291, 0.6192416568597158, 0.4730793411533038, 0.7957594017187755, 0.7570452819267909, 0.5804953868190448, 0.43717803110678993, 0.7785061250130335, 0.5714593350887298, 0.5947339942057928, 0.8420850122968356, 0.6745557328065236, 0.5376502513885498, 0.545789486169815, 0.6476305951674779, 0.5324482609828313, 0.5018530562520027, 0.7059176231424014, 0.59167833228906, 1.0117873390515646, 0.6448751380046208, 0.8215991308291754, 0.47594111661116284, 0.44203995565573373, 0.5368657032648723, 0.39744592358668646, 0.5040965192019939, 0.4099969615538915]",0.8627450980392157,3.0336742401123047,resnet34,True,False
52,723522,70.21874809265137,0.29626329789559047,"[0.6143193090955417, 0.6626703063646953, 0.6443698267141978, 0.5974467446406683, 0.6635206907987594, 0.6043845295906067, 0.47457945843537647, 0.4070695127050082, 0.521741617222627, 0.5705462197462717, 0.5362809658050537, 0.43556203742822014, 0.27457153995831807, 0.5104670559366544, 0.3998982186118762, 0.37296838412682215, 0.3276210208733877, 0.3635485038161278, 0.408823694785436, 0.4283299664656321, 0.4040239264567693, 0.39194182952245077, 0.3939064621925354, 0.42542093197504677, 0.3820832873384158, 0.34889175593852995, 0.3046407972772916, 0.3264291614294052, 0.20972305188576382, 0.29626329789559047]",0.8104575163398693,2.2634453773498535,squeezenet1_1,True,False
26,128959042,424.3832137584686,0.12049836541215579,"[0.5031461690862974, 0.4505705595016479, 0.37233323554197945, 0.4654947402576605, 0.2699298625191053, 0.2949039816856384, 0.16165028139948845, 0.3186729773879051, 0.259407972296079, 0.31026825631658234, 0.12120863124728203, 0.19890003502368928, 0.1764173058172067, 0.24973918870091438, 0.1773315489292145, 0.09509727160135904, 0.22233242044846216, 0.1466854323943456, 0.12553381125132243, 0.08609176427125931, 0.06346224993467331, 0.23509883309404056, 0.13204210102558137, 0.10656530782580376, 0.1179654265443484, 0.07381095265348753, 0.04487273693084717, 0.0732261930902799, 0.13789080331722894, 0.12049836541215579]",0.9281045751633987,9.507586240768433,vgg13,True,False
